edit_history_tweet_ids,id,text
[1588335262400188422],1588335262400188422,"Most Popular Stocks updated @ 11-03 20:00ET --&gt;

https://t.co/ALYhjsiSqR

 #PTON #HOOD #AMZN #TSLA #ROKU #AMD #ETSY #AAPL #META #COIN #PYPL #GOOGL #SOFI #QCOM #SQ #CVNA #DDOG #BA #GOOG #AMC"
[1588333668900429824],1588333668900429824,"🔥Guess what? Equal-weighted #AAPL+#AMZN+#GOOG+#MSFT+#TSLA has just broken the very important support since that fateful #FOMC day...see that little #momentum #divergence there? If i have to guess, i won't be surprised for a test on its Oct low that has become resistance now!🔥 https://t.co/gOjj6cfzCu"
[1588329379637366785],1588329379637366785,#AAPL how long will it take for Apple music subscribers to recognize Amazon Music just became the GOTO Music platform with its addition to Prime. Analysts may need to sharpen that pencil again…or let the bot figure it out… https://t.co/A9PLlYKKkr
[1588323897027461136],1588323897027461136,"Apple Inc price at close, 2022-11-03, is 138.88. #apple #AAPL"
[1588322416748482562],1588322416748482562,#AAPL needs to hit $100 to bottom. Change my mind. @amitisinvesting @TheInvesttoLive
[1588322152649981954],1588322152649981954,"Apple now worth more than Alphabet, Amazon and Meta combined (NASDAQ:AAPL) #aapl #meta #google #amazon #apple #iphone #fintwit https://t.co/bM7BVC32Zf"
[1588302628018335745],1588302628018335745,#AAPL worth as much as #META #AMZN #GOOG put together....crazy times...Buckle up because it's gonna get WORSE. Remember...buy when other are fearful...This is an OPPORTUNITY. You'll thank me in 18-24 months... https://t.co/Ba7NfWQFD6
[1588289659678777344],1588289659678777344,Game plan?  Easy peasy $AAPL puts all-day-all day #AAPL @ShinobiSignals @FT__Trading @MrZackMorris @PBInvesting
[1588283133455085568],1588283133455085568,"Recap on days trading :

#4 NQ signals 
Circa 140, 70, 40 &amp; 10 handles
Total 250 more or less
1 signal didnt do much 
1 signal was massive 140
2.5 % of NQ value in 1 day

#nq #NQ_F #ES_F $ndx $spx #TSLA #AAPL #WTI https://t.co/1TQSc47Cgh"
[1588271566131171330],1588271566131171330,$AAPL - #AAPL chart on @TradingView https://t.co/o7jUmEUycQ
